competition;program;judge;judge_name;judge_nation
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J1;Ms. Sharon Rogers ;USA
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J2;Ms. Maira Abasova;RUS
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J3;Mr. Albert Zaydman;ISR
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J4;Ms. Christine Hurth;FRA
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J5;Ms. Chihee Rhee;KOR
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J6;Mr. Richard Kosina;CZE
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J7;Ms. Nicole Leblanc-Richard;CAN
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J8;Ms. Tanay Ozkan;TUR
ISU World Figure Skating Championships 2017;ICE DANCE SHORT DANCE;J9;Ms. Marta Olozagarre;ESP
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J1;Ms. Marta Olozagarre;ESP
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J2;Ms. Nicole Leblanc-Richard;CAN
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J3;Ms. Sharon Rogers;USA
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J4;Ms. Chihee Rhee;KOR
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J5;Mr. Vladislav Petukhov;UKR
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J6;Mr. Christian Baumann;GER
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J7;Mr. Garry Hoppe;GBR
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J8;Ms. Maira Abasova;RUS
ISU World Figure Skating Championships 2017;ICE DANCE FREE DANCE;J9;Mr. Richard Kosina;CZE
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J1;Ms. Ko-Man Ting ;TPE
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J2;Ms. Jia Yao ;CHN
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J3;Ms. Sandra Williamson-Leadley;NZL
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J4;Ms. Lorrie Parker;USA
